pop;season;activity;boldness
A;1;0.325;0.876
A;2;0.5888;0.604
A;1;0.278;0.923
A;2;0.5176;0.6472
A;1;0.38;0.372
A;2;0.5952;0.5416
A;1;0.034;0
A;2;0.7272;0.484
A;1;0.363;0.219
A;2;0.3648;0.1736
A;1;0.333;0.766
A;2;0.5992;0.5016
A;1;0.116;0.858
A;2;0.7168;0.4552
A;1;0.557;0.777
A;2;0.508;0.5288
A;1;0.493;0.755
A;2;0.82;0.4776
A;1;0.274;0.711
A;2;0.7368;0.3512
A;1;0.366;0.484
A;2;0.692;0.5008
A;1;0.19;0.311
A;2;0.576;0.4232
A;1;0.359;0.507
A;2;0.6336;0.52
A;1;0.168;0.956
A;2;0.6664;0.6544
A;1;0.114;0.959
A;2;0.6888;0.5664
A;1;0.521;0.738
A;2;0.4944;0.5216
A;1;0.136;0.08
A;2;0.6896;0.4904
A;1;0.308;0.366
A;2;0.3464;0.612
A;1;0.432;0.392
A;2;0.5848;0.636
A;1;0.281;0.6
A;2;0.516;0.5824
A;1;0.231;0.592
A;2;0.364;0.4944
A;1;0.32;0.397
A;2;0.1648;0.0504
A;1;0.204;0.258
A;2;0.5648;0.5128
A;1;0.286;0.425
A;2;0.5416;0.58
A;1;0.322;0.45
A;2;0.3512;0.2832
A;1;0.345;0.577
A;2;0.7032;0.4552
A;1;0.254;0.895
A;2;0.3392;0.3104
A;1;0.26;0.228
A;2;0.3136;0.3
A;2;0.4608;0.4352
A;1;0.181;0.478
A;2;0.3552;0.268
A;1;0.272;0.54
A;2;0.5248;0.5328
A;1;0.322;0.453
A;2;0.5032;0.7088
A;1;0.13;0.976
A;2;0.3488;0.752
A;1;0.46;0.284
A;2;0.7512;0.5432
A;1;0.43;0.395
A;2;0.6648;0.6368
A;1;0.454;0.597
A;2;0.4224;0.2704
A;1;0.087;0.148
A;2;0.8296;0.4256
A;1;0.522;0.611
A;2;0.816;0.5304
A;1;0.426;0.756
A;2;0.8224;0.328
A;1;0.135;0.122
A;2;0.5112;0.5184
A;1;0.314;0.294
A;2;0.744;0.3416
A;1;0.078;0.106
A;2;0.5144;0.6584
A;1;0.001;0
A;2;0.6784;0.5736
A;1;0.206;0.529
A;2;0.4352;0.7288
A;1;0.266;0.303
A;2;0.7216;0.5296
A;1;0.166;0.436
A;2;0.7008;0.4168
A;2;0.6472;0.7608
A;1;0.306;0.662
A;2;0.5784;0.6672
A;1;0.149;0.558
A;1;0.133;0.691
A;2;0.508;0.7136
A;1;0.212;0.198
A;2;0.4392;0.6368
B;1;0.092;0.935
B;2;0.7176;0.5552
B;1;0.286;0.555
B;2;0.7328;0.4552
B;1;0.209;0.21
B;2;0.7728;0.5624
B;1;0.37;0.794
B;2;0.8168;0.3616
B;1;0.222;0.366
B;2;0.9808;0.4064
B;1;0.262;0.497
