"cred" "current" "duration" "amount" "former" "purpose"
"C" "N" 18 1049 "G" "Pri"
"C" "N" 9 2799 "G" "Pro"
"C" "M" 12 841 "G" "Pro"
"C" "N" 12 2122 "G" "Pro"
"C" "N" 12 2171 "G" "Pro"
"C" "N" 10 2241 "G" "Pro"
"C" "N" 8 3398 "G" "Pro"
"C" "N" 6 1361 "G" "Pro"
"C" "G" 18 1098 "G" "Pri"
"C" "M" 24 3758 "G" "Pri"
"C" "N" 11 3905 "G" "Pro"
"C" "N" 30 6187 "G" "Pri"
"C" "N" 6 1957 "G" "Pri"
"C" "M" 48 7582 "G" "Pro"
"C" "N" 18 1936 "G" "Pri"
"C" "N" 6 2647 "G" "Pri"
"C" "N" 11 3939 "G" "Pro"
"C" "M" 18 3213 "G" "Pri"
"C" "M" 36 2337 "G" "Pri"
"C" "G" 11 7228 "G" "Pro"
"C" "N" 6 3676 "G" "Pro"
"C" "M" 12 3124 "G" "Pro"
"NC" "M" 36 2384 "G" "Pri"
"C" "M" 12 1424 "G" "Pri"
"C" "N" 6 4716 "G" "Pro"
"C" "M" 11 4771 "G" "Pri"
"C" "N" 12 652 "G" "Pri"
"C" "M" 9 1154 "G" "Pri"
"C" "G" 15 3556 "G" "Pro"
"C" "M" 42 4796 "G" "Pri"
"C" "M" 30 3017 "G" "Pri"
"C" "G" 36 3535 "G" "Pro"
"C" "G" 36 6614 "G" "Pro"
"C" "G" 24 1376 "G" "Pri"
"C" "N" 15 1721 "G" "Pro"
"C" "N" 6 860 "G" "Pro"
"C" "G" 12 1495 "G" "Pro"
"C" "G" 12 1934 "G" "Pri"
"C" "G" 18 3378 "G" "Pri"
"C" "G" 24 3868 "G" "Pri"
"C" "G" 12 996 "G" "Pri"
"C" "N" 24 1755 "G" "Pro"
"C" "G" 18 1028 "G" "Pro"
"C" "M" 24 2825 "G" "Pro"
"C" "M" 18 1239 "G" "Pri"
"NC" "N" 18 1216 "G" "Pro"
"C" "G" 24 1258 "G" "Pro"
"NC" "G" 18 1864 "G" "Pri"
"C" "G" 24 1474 "G" "Pro"
"C" "N" 24 1382 "G" "Pro"
"C" "G" 12 640 "G" "Pro"
"C" "M" 36 3919 "G" "Pri"
"C" "G" 9 1224 "G" "Pro"
"C" "G" 12 2331 "G" "Pri"
"C" "G" 24 6313 "G" "Pri"
"C" "N" 12 385 "G" "Pri"
"C" "G" 12 1655 "G" "Pri"
"C" "N" 15 1053 "G" "Pri"
"C" "G" 21 3160 "G" "Pri"
"C" "G" 36 3079 "G" "Pro"
"C" "G" 12 1163 "G" "Pro"
"C" "G" 24 2679 "G" "Pri"
"C" "G" 48 3578 "G" "Pri"
"C" "G" 36 10875 "G" "Pro"
"C" "N" 12 1344 "G" "Pro"
"C" "G" 6 1237 "G" "Pri"
"C" "G" 12 3077 "G" "Pri"
"C" "G" 24 2284 "G" "Pri"
"C" "M" 12 1567 "G" "Pri"
"C" "G" 24 2032 "G" "Pro"
"C" "M" 21 2745 "G" "Pri"
"C" "G" 30 1867 "G" "Pri"
"C" "G" 36 2299 "G" "Pri"
"C" "G" 24 929 "G" "Pri"
"C" "M" 12 3399 "G" "Pri"
"C" "M" 9 2030 "G" "Pri"
"C" "G" 21 3275 "G" "Pri"
"C" "G" 24 1940 "G" "Pro"
"C" "N" 21 1602 "G" "Pro"
"C" "G" 15 1979 "G" "Pri"
"C" "G" 24 2022 "G" "Pro"
"C" "G" 36 3342 "G" "Pri"
"C" "M" 18 5866 "G" "Pro"
"C" "M" 15 2360 "G" "Pri"
"C" "G" 15 1520 "G" "Pri"
"C" "N" 12 3651 "G" "Pro"
"C" "G" 24 2346 "G" "Pri"
"C" "G" 36 4454 "G" "Pri"
"C" "N" 6 666 "G" "Pro"
"C" "M" 24 1965 "G" "Pro"
"C" "M" 12 1995 "G" "Pro"
"C" "M" 30 2991 "G" "Pri"
"C" "M" 30 4221 "B" "Pro"
"C" "N" 9 1364 "G" "Pri"
"C" "M" 18 6361 "G" "Pri"
"C" "G" 27 4526 "G" "Pri"
"C" "M" 12 3573 "G" "Pri"
"NC" "M" 36 4455 "G" "Pro"
"C" "N" 9 2136 "G" "Pri"
"C" "M" 42 5954 "G" "Pro"
"C" "G" 24 3777 "G" "Pri"
"C" "N" 15 806 "G" "Pro"
"C" "M" 24 4712 "G" "Pro"
"C" "M" 36 7432 "G" "Pro"
"C" "G" 24 1851 "G" "Pri"
"C" "G" 24 1393 "G" "Pro"
"C" "G" 12 1412 "G" "Pro"
"C" "G" 18 1473 "G" "Pri"
"C" "G" 24 1533 "G" "Pri"
"C" "G" 12 2012 "G" "Pri"
"NC" "N" 15 3959 "G" "Pro"
"C" "N" 6 428 "G" "Pri"
"C" "M" 12 2366 "G" "Pro"
"C" "G" 12 763 "G" "Pri"
"C" "M" 21 3976 "G" "Pri"
"C" "M" 18 6260 "G" "Pro"
"C" "M" 9 1919 "G" "Pri"
"C" "G" 24 2603 "G" "Pri"
"C" "G" 9 936 "G" "Pri"
"C" "G" 24 3062 "G" "Pri"
"C" "M" 36 4795 "G" "Pri"
"C" "G" 36 5842 "G" "Pri"
"C" "M" 6 2063 "G" "Pri"
"C" "G" 15 1459 "G" "Pri"
"C" "G" 15 1213 "G" "Pri"
"C" "G" 24 5103 "G" "Pri"
"C" "G" 15 874 "G" "Pri"
"C" "G" 6 2978 "G" "Pri"
"C" "G" 18 1820 "G" "Pro"
"C" "G" 24 2872 "G" "Pri"
"C" "M" 24 1925 "G" "Pri"
"C" "G" 18 2515 "G" "Pri"
"C" "M" 6 2116 "G" "Pri"
"C" "G" 18 1453 "G" "Pri"
"C" "G" 10 1364 "G" "Pro"
"C" "G" 6 1543 "G" "Pri"
"C" "M" 12 1318 "G" "Pro"
"C" "N" 24 2325 "B" "Pro"
"C" "M" 6 932 "G" "Pri"
"C" "M" 24 3148 "G" "Pri"
"C" "G" 36 3835 "G" "Pri"
"C" "G" 9 3832 "G" "Pri"
"C" "M" 24 5084 "G" "Pri"
"C" "G" 9 2406 "G" "Pri"
"C" "G" 36 2394 "G" "Pri"
"C" "G" 21 2476 "G" "Pri"
"C" "N" 24 2964 "G" "Pri"
"C" "N" 12 1262 "G" "Pri"
"C" "G" 12 1542 "G" "Pro"
"C" "M" 24 1743 "G" "Pri"
"C" "M" 12 409 "B" "Pri"
"C" "G" 12 2171 "G" "Pri"
"C" "G" 48 8858 "G" "Pri"
"C" "M" 24 3512 "G" "Pro"
"C" "M" 12 1158 "G" "Pri"
"C" "G" 24 2684 "G" "Pri"
"C" "N" 12 1498 "G" "Pri"
"C" "G" 30 5954 "G" "Pri"
"NC" "M" 48 6416 "B" "Pro"
"C" "M" 12 3617 "G" "Pri"
"C" "G" 12 1291 "G" "Pri"
"C" "M" 24 1275 "G" "Pro"
"C" "G" 24 3972 "G" "Pri"
"C" "G" 15 3343 "G" "Pri"
"C" "M" 15 392 "G" "Pri"
"C" "G" 9 2134 "G" "Pro"
"C" "G" 30 5771 "G" "Pri"
"C" "G" 24 4526 "G" "Pro"
"C" "G" 15 2788 "G" "Pri"
"C" "G" 6 1382 "G" "Pri"
"C" "M" 36 5848 "G" "Pri"
"NC" "N" 12 1228 "G" "Pro"
"C" "M" 12 1297 "G" "Pri"
"C" "G" 24 1552 "G" "Pri"
"C" "G" 12 1963 "G" "Pri"
"C" "G" 24 3235 "G" "Pri"
"C" "G" 24 4139 "G" "Pro"
"C" "M" 12 1804 "G" "Pri"
"C" "G" 18 1950 "G" "Pro"
"C" "G" 48 12749 "G" "Pri"
"C" "G" 9 1236 "G" "Pri"
"C" "G" 18 1055 "G" "Pro"
"C" "N" 30 8072 "B" "Pro"
"C" "G" 30 2831 "G" "Pri"
"C" "G" 9 1449 "G" "Pro"
"C" "G" 36 5742 "G" "Pro"
"C" "G" 12 2390 "G" "Pro"
"C" "G" 24 3430 "G" "Pri"
"C" "M" 36 2273 "G" "Pri"
"C" "M" 21 2923 "G" "Pro"
"C" "G" 24 1901 "G" "Pri"
"C" "M" 36 3711 "G" "Pri"
"C" "M" 48 8487 "G" "Pro"
"C" "G" 24 2255 "G" "Pro"
"C" "G" 12 1262 "G" "Pri"
"C" "G" 33 7253 "G" "Pri"
"C" "G" 6 6761 "G" "Pro"
"C" "G" 18 1817 "G" "Pri"
"C" "G" 12 2141 "G" "Pri"
"C" "G" 48 3609 "B" "Pro"
"C" "G" 30 2333 "G" "Pri"
"C" "G" 28 7824 "B" "Pri"
"C" "M" 18 1445 "B" "Pri"
"C" "N" 24 7721 "G" "Pri"
"C" "N" 21 3763 "G" "Pro"
"C" "M" 18 4439 "G" "Pro"
"C" "N" 12 1107 "G" "Pri"
"C" "M" 15 1444 "G" "Pri"
"C" "M" 48 12169 "B" "Pro"
"C" "G" 9 2753 "G" "Pri"
"C" "M" 4 1494 "G" "Pro"
"C" "N" 24 2828 "B" "Pri"
"C" "N" 24 2483 "B" "Pri"
"C" "M" 6 1299 "G" "Pro"
"C" "M" 9 1549 "G" "Pro"
"C" "M" 10 3949 "G" "Pro"
"C" "G" 10 2901 "G" "Pri"
"C" "M" 6 709 "G" "Pro"
"C" "N" 47 10722 "G" "Pro"
"C" "G" 10 1287 "G" "Pro"
"C" "N" 18 1940 "B" "Pri"
"C" "M" 30 3656 "G" "Pri"
"C" "G" 24 4679 "G" "Pri"
"C" "G" 27 8613 "G" "Pri"
"C" "N" 18 2659 "G" "Pri"
"C" "G" 24 1516 "G" "Pri"
"C" "N" 18 4380 "G" "Pro"
"C" "G" 14 802 "G" "Pro"
"C" "G" 21 1572 "G" "Pro"
"C" "M" 48 3566 "B" "Pro"
"C" "G" 24 1278 "G" "Pri"
"C" "G" 6 426 "B" "Pri"
"C" "G" 39 8588 "G" "Pri"
"C" "N" 30 3857 "G" "Pri"
"NC" "M" 12 685 "G" "Pro"
"C" "N" 24 1603 "G" "Pri"
"C" "G" 21 2241 "G" "Pri"
"C" "N" 24 2384 "G" "Pri"
"C" "G" 4 601 "G" "Pri"
"C" "G" 39 2569 "G" "Pri"
"C" "G" 15 1316 "G" "Pri"
"C" "G" 60 10366 "G" "Pro"
"C" "G" 18 1568 "G" "Pro"
"C" "G" 18 629 "G" "Pri"
"C" "G" 6 1750 "B" "Pri"
"C" "G" 24 3488 "G" "Pri"
"C" "G" 18 1800 "G" "Pri"
"C" "G" 24 4151 "G" "Pri"
"C" "M" 15 2631 "G" "Pri"
"C" "G" 21 5248 "G" "Pri"
"C" "M" 18 2899 "G" "Pro"
"C" "M" 18 6204 "G" "Pri"
"C" "G" 12 804 "G" "Pri"
"C" "G" 36 3595 "G" "Pri"
"C" "G" 36 5711 "G" "Pri"
"C" "M" 15 2687 "G" "Pro"
"C" "N" 15 3643 "G" "Pri"
"C" "G" 10 2146 "G" "Pri"
"C" "N" 10 2315 "G" "Pri"
"C" "G" 5 3448 "G" "Pro"
"C" "G" 15 2708 "G" "Pri"
"C" "G" 11 1393 "G" "Pro"
"C" "M" 10 1275 "G" "Pri"
"C" "G" 9 1313 "G" "Pri"
"C" "G" 12 1493 "G" "Pri"
"C" "G" 22 2675 "G" "Pri"
"C" "M" 9 2118 "G" "Pri"
"C" "G" 36 909 "G" "Pro"
"C" "G" 12 1258 "G" "Pri"
"C" "G" 15 1569 "B" "Pri"
"C" "G" 6 1236 "G" "Pri"
"C" "G" 36 7678 "G" "Pri"
"C" "G" 6 660 "G" "Pri"
"C" "G" 24 2835 "G" "Pri"
"C" "G" 24 2670 "G" "Pri"
"C" "G" 12 3447 "B" "Pri"
"C" "G" 15 3568 "G" "Pri"
"C" "M" 21 3652 "G" "Pro"
"C" "N" 24 3660 "G" "Pri"
"C" "M" 9 1126 "G" "Pri"
"C" "M" 6 683 "G" "Pri"
"C" "M" 12 2251 "G" "Pri"
"C" "G" 12 4675 "G" "Pri"
"C" "M" 21 2353 "G" "Pro"
"C" "N" 21 3357 "G" "Pri"
"C" "G" 6 672 "G" "Pro"
