mf	e1	e2
M	7,04	8,57
M	8,15	6,48
M	8,24	6,57
M	6,20	5,71
F	7,96	6,19
F	8,15	7,52
F	9,26	8,86
F	6,39	2,00
F	8,15	10,00
F	7,41	7,71
F	7,32	8,10
M	7,32	8,19
M	6,30	7,33
F	6,94	3,14
M	7,04	6,48
M	5,93	3,71
F	6,02	6,29
M	7,13	8,29
M	7,13	6,19
M	6,67	8,48
M	3,70	3,14
M	8,15	6,29
M	8,98	9,71
M	7,78	6,38
M	6,85	8,95
F	8,70	7,43
F	7,32	7,71
F	9,26	9,33
M	3,43	5,14
M	8,89	9,24
M	8,89	8,48
M	5,56	6,19
M	7,69	7,52
M	6,11	8,19
M	7,78	8,86
M	5,56	5,43
F	6,48	6,76
M	7,87	6,95
M	8,52	7,71
M	8,70	8,29
M	7,96	8,86
