"temp_7" "fail"
18.35 0
9.75 0
41.32 0
21.82 0
20.16 0
17.66 0
12.01 0
9.34 0
14.72 0
19.06 0
9.91 0
14.5 0
18.51 0
11.76 0
44.46 1
11.22 0
11.87 0
12.58 0
45.2 1
10.43 0
20.16 0
9.24 0
13.94 0
11.24 0
11.32 0
9.12 0
14.58 0
19.22 0
16.28 0
22.92 0
15.6 0
20.35 0
14.52 0
29.84 0
26.12 1
21.08 0
18.97 0
15.27 0
14.64 0
16.09 0
9.2 0
8.13 0
10.03 0
11.21 0
13.13 0
20.92 0
14.24 0
15.12 0
11.47 0
13.05 0
9.65 0
25.18 1
14.91 0
19.19 0
14.99 0
14.89 0
11.85 0
11.48 0
13.49 0
18.25 0
11.97 0
26.57 0
11.07 0
15.93 0
14.75 0
12.07 0
18.73 0
14.85 0
12.4 0
18.83 0
13.56 0
18.37 0
10.22 0
14.2 0
9.66 0
30.12 0
18.45 0
23.35 0
12.6 0
14.63 0
16.34 0
14.06 0
40.66 0
19.19 0
13.18 0
26.58 0
18.59 0
15.08 0
17 0
7.62 0
14.95 0
12.04 0
10.77 0
40.87 1
13.93 0
14.76 0
11.99 0
14.89 0
14.62 0
16.91 0
13.9 0
27.1 0
16.04 0
35.73 1
20.57 0
18.05 0
16.69 0
13.8 0
20.83 0
16.44 0
19.47 0
15.3 0
9.45 0
33.11 0
10.68 0
17.79 0
11.9 0
29.16 1
15.3 0
12.92 0
22.91 0
20.1 0
22.06 0
18.76 0
12.42 0
16.53 0
19.49 0
19.11 1
11.63 0
23.81 0
23.85 0
12.25 0
15.58 0
15.76 0
9.26 0
9.34 0
22.21 1
20.69 0
20.56 0
15.16 0
17.41 0
10.29 0
14.85 0
24.86 0
24.58 0
11.03 0
22.74 0
11.41 0
26.81 0
6.92 0
19.26 0
10.54 0
9.5 0
16.98 0
25.61 0
9.48 0
22.39 0
13.34 0
11.89 0
14.29 0
20.53 1
11.7 0
19.57 0
16.54 0
9.57 0
22.88 0
12.8 0
14.58 0
17.09 0
17.11 0
24.08 0
14.22 0
13.85 0
16.79 0
18.91 0
30.12 1
28.27 0
11.19 0
49.33 1
14.92 0
20.53 0
16.52 0
15.22 0
37.59 1
11.19 0
17.3 0
17.91 0
20.24 0
23.92 1
13.66 0
9.18 0
17.74 0
16.55 0
11.17 0
17.45 0
8.59 0
13.57 0
14.05 0
10.37 0
22.05 1
17.49 0
10.14 0
20.41 0
13.45 0
16.33 0
10.37 0
11.54 0
10.69 0
15.44 0
27.92 0
11.11 0
10.49 0
14.62 0
14.13 0
7.99 0
18.41 0
22.78 0
15.37 0
12.28 0
13.45 0
14.81 0
42.84 1
17.27 0
15.95 0
10.17 0
11.43 0
9.23 0
14.41 0
18.89 0
11.3 0
20.82 0
17.81 0
15.57 0
17.46 0
12.72 0
16.14 0
9.84 0
16.1 0
15.34 0
20.78 0
13.11 0
17.95 0
12.29 0
12.47 0
18.22 0
20.98 1
8.91 0
18.18 0
12.23 0
12.86 0
10.52 0
15.17 0
16.35 0
9.36 0
12.6 0
11.13 0
10.99 0
13.53 0
23.84 0
9.1 0
11.47 0
9.66 0
11.08 0
14.05 0
17.33 0
20.06 0
19.55 0
40 0
11.33 0
17.82 0
16.01 0
12.44 0
13.65 0
11.88 0
15.08 0
12.33 0
15.86 0
11.5 0
10.66 0
30.15 0
14.83 0
15.97 0
10.38 0
19.66 0
11.3 0
43.14 0
13.05 0
15.3 0
9.49 0
8.14 0
23.11 1
49.48 1
21.36 0
10.93 0
16.59 0
11.74 0
17.1 0
15.27 0
16.67 0
14.04 0
14.06 0
17 0
16.35 0
12.34 0
12.64 0
13.46 0
10.73 0
15.37 0
10.78 0
42.97 1
14.85 0
17.78 0
20.38 0
14.65 0
28.4 1
16.07 0
18.25 0
13.69 0
11.98 0
9.22 0
16.02 0
17.39 0
16.44 0
8.96 0
11.08 0
16.96 0
22.97 0
43.89 1
12.45 0
19.59 0
16.86 0
11.11 0
11.82 0
20.3 0
20.11 0
12.78 0
42.13 0
18.37 0
9.62 0
13.4 0
19.15 0
11.58 0
22.43 0
13.03 0
10.63 0
28.38 1
13.4 0
20.66 0
45.77 1
11.4 0
15.56 0
12.64 0
20.08 0
13.21 0
13.37 0
34.6 0
17.22 0
16.86 0
18.66 0
40.75 1
27.32 0
25.55 1
9.88 0
15.14 0
22.9 0
21.38 0
19.6 0
10.96 0
20.31 0
11.89 0
16.38 0
20.69 0
21.59 0
10.36 0
18.85 0
9.33 0
17.42 0
14.11 0
8.44 0
15.61 0
13.48 0
10.47 0
11.22 0
14.67 0
13.72 0
15.17 0
16.77 0
16.1 0
12.38 0
32.74 0
19.97 0
19.32 0
18.41 0
13.09 0
48.81 1
13.36 0
31.63 0
14.32 0
14.21 0
22.36 0
22.16 0
21.64 0
27.52 0
47.15 1
20 0
11.29 0
23.79 0
25.58 1
8.7 0
46.68 0
20.51 0
9.4 0
45.78 1
10.74 0
10.99 0
14.09 0
17.47 0
18.66 0
13.78 0
23.65 0
13.58 0
13.98 0
17 0
9.69 0
19.66 0
13.27 0
9.7 0
12.44 0
13.13 0
18.66 0
18.72 0
13.46 0
14.03 0
16.97 0
25.9 0
16.83 0
14.48 0
19.89 0
19.93 0
13.25 0
16.87 0
16.01 0
23.78 0
12.12 0
14.63 0
12.49 0
15.08 0
17.94 0
10.94 0
20.73 0
14.96 0
18.94 0
16.57 0
19.2 0
14.59 0
11.68 0
18.58 0
18.42 0
14.5 0
15.68 0
13.98 0
15.58 0
20.66 0
21.18 0
13.75 0
13.7 0
14.76 0
26.6 1
